"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"32976414217","https://ae04.alicdn.com/kf/HTB1_VgvbdzvK1RkSnfoq6zMwVXao.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/219642768604.mp4","Fashion Pet Cat Costume Summer Cat Vest Hoodie Cozy Mascoats Gotos Clothes for Cats Katten Coat Kedi Clothing Sweatshirt Outfit","USD 1.73","USD 1.35","22%","USD","7","USD 0.09","1235","95.2%","https://s.click.aliexpress.com/e/_DcZpOTh"
"1005004518353914","https://ae04.alicdn.com/kf/S4833c5cb57c04178b865e28447f6a3e9c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100064841392.mp4","2022 Fashion Men Windbreaker Jackets Casual Slim Jacket Men Outdoor Coat Spring Autumn Army Cargo Bomber Jacket Men Clothing","USD 52.48","USD 30.44","42%","USD","9","USD 2.74","30","100.0%","https://s.click.aliexpress.com/e/_DklM8sx"
"32286158373","https://ae04.alicdn.com/kf/Hc4fa60f8d2894220a133183f1158cbe2w.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/291610687511.mp4","HOOPET Big Dog clothes Large Dog Coat Purple Warm Cotton-padded Two Feet Clothes Thicken Hoodie coat jacket Dog Clothes","USD 17.24","USD 15.17","12%","USD","8.0","USD 1.21","47","95.7%","https://s.click.aliexpress.com/e/_Dl3CWdl"
"32964083022","https://ae04.alicdn.com/kf/HTB1ZK6oaorrK1RkSne1q6ArVVXaA.jpg",,"2020 Lika S-XXL New Spring Fashion Bright Colors Good Quality Ladies Basic Street Women Short PU Leather Jacket FREE Accessories","USD 26.00","USD 20.02","23%","USD","9","USD 1.80","20","90.0%","https://s.click.aliexpress.com/e/_DDUKhMn"
"4000072658124","https://ae04.alicdn.com/kf/H0e86cea2d6054138a0949b073f0aeeaf6.jpg",,"Red Black Dog Clothes Warm Coat Harness Waterproof Puppy Cat Padded Vest For Winter Dog Jacket Dogs Pets Clothing Costume XS-XXL","USD 2.70","USD 2.19","19%","USD","8.0","USD 0.18","42","88.0%","https://s.click.aliexpress.com/e/_DBbS7fN"
"4001212727383","https://ae04.alicdn.com/kf/H0793fce76aa04d6ca02b06a64dc42cd5w.jpg",,"Girls Pu Zipper Jackets Cool Jacket For Girl 3-12 Years Kids Classic Collar Coats Teen Windbreaker Clothing Children's Outerwear","USD 19.95","USD 15.36","23%","USD","9","USD 1.38","50","90.6%","https://s.click.aliexpress.com/e/_DFfgUif"
"4001354518175","https://ae04.alicdn.com/kf/Ha14177c1e5a94284b7bb4365a0529307Q.jpg",,"Dog Winter Coat Coats Warm Clothes Small Puppy Clothing For French Bulldog Dogs Pets Waterproof Suit XXL Pet Jackets Snowsuit","USD 18.50","USD 12.95","30%","USD","7","USD 0.91","80","95.0%","https://s.click.aliexpress.com/e/_DEBYyzd"
"1005002704854141","https://ae04.alicdn.com/kf/S734e3407a2cf4bc5bb604608a04442766.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/311814882289.mp4","2022Spring and Autumn New Men's Jacket Youth Stand-up Collar Casual Plus Size Windbreaker Fashion Men Clothing Jackets for Men","USD 45.78","USD 23.35","49%","USD","15.0","USD 3.50","35","67.5%","https://s.click.aliexpress.com/e/_Dd7qQ15"
"1971642251","https://ae04.alicdn.com/kf/HTB1IkWbKFXXXXXkXpXXq6xXFXXXN.jpg",,"Rare Classic MJ MICHAEL JACKSON CUSTOM Classic Beat It MV Red Zipper Leather Jacket","USD 72.00","USD 64.80","10%","USD","9","USD 5.83","23","100.0%","https://s.click.aliexpress.com/e/_DnaipH1"
"32758351620","https://ae04.alicdn.com/kf/HTB17fbmNVXXXXaEXXXXq6xXFXXXj.jpg",,"Pet Dog Clothes Winter Warm Dog Green Coat Jumpsuit Thicken Pet Clothing For Yorkshire Teddy Dogs Costume Puppy Clothes Jackets","USD 4.60","USD 3.91","15%","USD","7","USD 0.27","71","100.0%","https://s.click.aliexpress.com/e/_DEDSNbz"
