Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Mobile Phones,5090301,Global Version Xiaomi Mi 11 Lite 5G Smartphone RAM6GB+ ROM128GB Snapdragon 780G AMOLED Full Screen 64MP 4250mAh Battery With NFC,1005002848463727,https://ae01.alicdn.com/kf/Ha0f71275af484ef2a212165bb2c789ebD/Global-Version-Xiaomi-Mi-11-Lite-5G-Smartphone-RAM6GB-ROM128GB-Snapdragon-780G-AMOLED-Full-Screen-64MP.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha0f71275af484ef2a212165bb2c789ebD.jpg,https://ae04.alicdn.com/kf/H966e9d65ee1140319f9176f2c549e85f8.png,https://ae04.alicdn.com/kf/H49bdbcdf7baa49efaf6023cdbe12028eB.png,https://ae04.alicdn.com/kf/Hc1ad7e02e209476ba3ecdbf65fb7cc50F.jpg,https://ae04.alicdn.com/kf/Hacd35a64725c4912bdeae93203d00f4bs.jpg,",https://www.aliexpress.com/item/1005002848463727.html,570.00,399.00,4.00%,,30%,https://s.click.aliexpress.com/e/_A2fkPN
Mobile Phones,5090301,Global Version Black Shark 3 5G  Global Version Snapdragon 865 144Hz Screen DC Dimming E4 AMOLED Gaming Phone UFS 3.1 SmartPhone,1005002432688054,https://ae01.alicdn.com/kf/H2bd57a18a81c40f2b63e1c1138ca0cf1A/Global-Version-Black-Shark-3-5G-Global-Version-Snapdragon-865-144Hz-Screen-DC-Dimming-E4-AMOLED.png_220x220.png,"https://ae04.alicdn.com/kf/H2bd57a18a81c40f2b63e1c1138ca0cf1A.png,https://ae04.alicdn.com/kf/H90cc429aa2934018b3941a8265863a8b5.jpg,https://ae04.alicdn.com/kf/Ha1288da166074bc9af3585f9ce02b3e8H.jpg,https://ae04.alicdn.com/kf/H8c1ab94d43704a4ca25ad588c24819cff.jpg,https://ae04.alicdn.com/kf/Hfe3390b3be1f47d2bdf380fe1960acf3v.jpg,",https://www.aliexpress.com/item/1005002432688054.html,785.71,479.28,8.00%,,39%,https://s.click.aliexpress.com/e/_9yMKhh
Mobile Phones,5090301,Global ROM Xiaomi Mix 4 Smartphone 5G Version Snapdragon 888 Plus CPU 108MP Camera 120W Fast Charge 120HZ Full Screen With NFC,1005003281839317,https://ae01.alicdn.com/kf/H917fbcfd2d1b4941b3a15f5cfd14366br/Global-ROM-Xiaomi-Mix-4-Smartphone-5G-Version-Snapdragon-888-Plus-CPU-108MP-Camera-120W-Fast.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H917fbcfd2d1b4941b3a15f5cfd14366br.jpg,https://ae04.alicdn.com/kf/He5ef4940ad7e4b559d2865506e935489d.jpg,https://ae04.alicdn.com/kf/Hd0438219ae4f41a6b39e8fff7d567525B.jpeg,https://ae04.alicdn.com/kf/H5836f878af8446c0b8e66dc737568ed4j.jpg,https://ae04.alicdn.com/kf/H5e74026973b44c3ca201f67192ab8dfe9.jpg,",https://www.aliexpress.com/item/1005003281839317.html,"1,127.42",789.19,4.00%,,30%,https://s.click.aliexpress.com/e/_AOwM9p
Mobile Phones,5090301,Global ROM Xiaomi Mi 11 5G Smartphone 128GB/256GB Snapdragon 888 Octa Core 108 Million Pixels 55W Fast Charge 120Hz Screen NFC,1005002823052589,https://ae01.alicdn.com/kf/H9af98db323b246449195bab44b743fcdI/Global-ROM-Xiaomi-Mi-11-5G-Smartphone-128GB-256GB-Snapdragon-888-Octa-Core-108-Million-Pixels.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9af98db323b246449195bab44b743fcdI.jpg,https://ae04.alicdn.com/kf/H3e3f16e6345c47c18b2e39273dc5d448M.jpg,https://ae04.alicdn.com/kf/H181262ad2503427093e07f9b7c3bb3a8C.jpg,https://ae04.alicdn.com/kf/H42feb6547093450ba78fb0189fa7cd53z.jpg,https://ae04.alicdn.com/kf/H1f6a1182473a4b39aa2632347dfefe82c.jpg,",https://www.aliexpress.com/item/1005002823052589.html,941.42,658.99,4.00%,,30%,https://s.click.aliexpress.com/e/_APWKFV
Mobile Phones,5090301,Global Version Xiaomi 11T Pro 128GB/256GB 5G Smartphone Snapdragon 888 108MP Camera 120W Super Fast Charge 120HZ AMOLED Screen,1005003352582462,https://ae01.alicdn.com/kf/H5115b1f9f36f4850865209ed8980dc1cD/Global-Version-Xiaomi-11T-Pro-128GB-256GB-5G-Smartphone-Snapdragon-888-108MP-Camera-120W-Super-Fast.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5115b1f9f36f4850865209ed8980dc1cD.jpg,https://ae04.alicdn.com/kf/Had79e470bc9543b7967307b924fef904S.jpg,https://ae04.alicdn.com/kf/Hbcfa7c47aa2d4fa79cca73a83b88cf72F.jpg,https://ae04.alicdn.com/kf/Hb50bb0e81df04dc38ca4f67d5dd6f91cj.png,https://ae04.alicdn.com/kf/Hdf3de9fa827b4a2f82c67e065e9fb89eP.png,",https://www.aliexpress.com/item/1005003352582462.html,927.14,649.00,4.00%,,30%,https://s.click.aliexpress.com/e/_9GQIgn
Mobile Phones,5090301,Global ROM Xiaomi Redmi Note 11 Pro 5G Version 128GB/256GB Smartphone Dimensity 920 108MP Camera AMOLED Screen 67W 5000mAh NFC,1005002826811824,https://ae01.alicdn.com/kf/Scda35c5a06834d568862e5a23e162304O/Global-ROM-Xiaomi-Redmi-Note-11-Pro-5G-Version-128GB-256GB-Smartphone-Dimensity-920-108MP-Camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Scda35c5a06834d568862e5a23e162304O.jpg,https://ae04.alicdn.com/kf/S1a1c2af124ce4b3f8fe22d2a3b78d4bee.jpg,https://ae04.alicdn.com/kf/S8842abafa03b45ddbb85917b2c2411f41.jpg,https://ae04.alicdn.com/kf/S5fd9b112ec0b40fcb1e85023da4ced24b.jpg,https://ae04.alicdn.com/kf/S477af36806fb42e080546eb61af12c13C.jpg,",https://www.aliexpress.com/item/1005002826811824.html,527.14,369.00,4.00%,,30%,https://s.click.aliexpress.com/e/_AcSbu7
Mobile Phones,5090301,Global ROM Xiaomi MIX 4 5G Smartphone Snapdragon 888+ 120W Fast Charge 108MP Pixel 20MP Under Screen Camera 120Hz Display,1005003776644757,https://ae01.alicdn.com/kf/Hf9092b8f19c146369873dd4a77b5d565J/Global-ROM-Xiaomi-MIX-4-5G-Smartphone-Snapdragon-888-120W-Fast-Charge-108MP-Pixel-20MP-Under.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf9092b8f19c146369873dd4a77b5d565J.jpg,https://ae04.alicdn.com/kf/H8459b57f6f13483b86610e1f58e50a08c.jpeg,https://ae04.alicdn.com/kf/H05c2766e63d348989107d485b22f7983R.jpg,https://ae04.alicdn.com/kf/H9475662bd208488d95c3694f2ab939a5A.jpg,https://ae04.alicdn.com/kf/H40ff5637cb7b4badb9842637b7577dc1d.jpg,",https://www.aliexpress.com/item/1005003776644757.html,"1,127.14",789.00,4.00%,,30%,https://s.click.aliexpress.com/e/_A8NXH9
Mobile Phones,5090301,Original Xiaomi Mix 4 Global ROM 5G Smartphone Snapdragon 888 Plus 4500mAh 108MP Camera Full Curved Screen 120W Fast Charge,1005003446513613,https://ae01.alicdn.com/kf/Hf4a45441102747929048f9925b8f51b5K/Original-Xiaomi-Mix-4-Global-ROM-5G-Smartphone-Snapdragon-888-Plus-4500mAh-108MP-Camera-Full-Curved.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf4a45441102747929048f9925b8f51b5K.jpg,https://ae04.alicdn.com/kf/H05c2766e63d348989107d485b22f7983R.jpg,https://ae04.alicdn.com/kf/Hf06cf0e2fe5c4d48b25525dadda61485C.jpg,https://ae04.alicdn.com/kf/Hfe49c8f50b7340bcbb19786556e0a29el.jpg,https://ae04.alicdn.com/kf/H172790f7d59a433fb86c19cce2f7710eq.jpg,",https://www.aliexpress.com/item/1005003446513613.html,"1,127.14",789.00,4.00%,,30%,https://s.click.aliexpress.com/e/_AdlRqR
Mobile Phones,5090301,Global Rom Xiaomi Mi 10 5G Smartphone 8GB+256GB Snapdragon 865 Octa Core 100 Million Pixels NFC 90HZ AMOLED Curved Screen,1005002931682172,https://ae01.alicdn.com/kf/Hdc591bb433aa4ef18bfef1ce343a38289/Global-Rom-Xiaomi-Mi-10-5G-Smartphone-8GB-256GB-Snapdragon-865-Octa-Core-100-Million-Pixels.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdc591bb433aa4ef18bfef1ce343a38289.jpg,https://ae04.alicdn.com/kf/H29b0236c8b3b46bfb576ff3a04a5c288e.jpg,https://ae04.alicdn.com/kf/Hbfe58d7396c74f43ac387dfe4d966fe2k.jpg,https://ae04.alicdn.com/kf/Hb3b7867371474d07a4cf7d8702b9c87dO.jpg,https://ae04.alicdn.com/kf/H493e0cb7fd3345a0832ad1853cc4017bf.jpg,",https://www.aliexpress.com/item/1005002931682172.html,827.14,579.00,4.00%,,30%,https://s.click.aliexpress.com/e/_AWrQAj
Mobile Phones,5090301,Global Version Xiaomi 11T 5G Smartphone 128GB/256GB MTK Dimensity 1200-Ultra 108MP Camera 120HZ Display Screen 67W Fast Charge,1005003370246562,https://ae01.alicdn.com/kf/Hc27fae199cc4462aa94b58963c8e40acD/Global-Version-Xiaomi-11T-5G-Smartphone-128GB-256GB-MTK-Dimensity-1200-Ultra-108MP-Camera-120HZ-Display.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc27fae199cc4462aa94b58963c8e40acD.jpg,https://ae04.alicdn.com/kf/H83ffe82bdecd464db3430cebb2b58530a.png,https://ae04.alicdn.com/kf/Hbd886206d94e47b68a3edaf4921232c3y.jpg,https://ae04.alicdn.com/kf/Heab25b45e66f437080a870819adc0576B.png,https://ae04.alicdn.com/kf/H648cfca9aeb045eab8530112a81b76913.jpg,",https://www.aliexpress.com/item/1005003370246562.html,741.42,518.99,4.00%,,30%,https://s.click.aliexpress.com/e/_9AvnZ5
