"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004418474036","https://ae04.alicdn.com/kf/S20976bbae7204bc5b091105e75ab6ba8D.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100052709043.mp4","RC Bulldozer 1/24 Remote Control Loader Alloy Plastic Engineering Car Dump RTR Electric Vehicle Toy for Kid Gift Huina 1567/1569","USD 149.98","USD 59.99","60%","USD","8.0","USD 4.80","31","100.0%","https://s.click.aliexpress.com/e/_DlN9l9V"
"1005003757964948","https://ae04.alicdn.com/kf/H665b60e54a5a419dab87a10505c7e2a0G.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/344294895592.mp4","Radio controlled car APP Remote control car Wifi Camera HD RC 2WD Buggy SUV 1/18 Rc cars Electric Car toys for boys Climbing car","USD 28.52","USD 24.24","15%","USD","7","USD 1.70","31","76.0%","https://s.click.aliexpress.com/e/_DBynCX9"
"1005002377210072","https://ae04.alicdn.com/kf/H70407921d45e4c6e97fdb06c131a240ey.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/304482987077.mp4","RCtown 40+MPH 1/18 Scale RC Car 2.4G 4WD High Speed Fast Remote Controlled Large TRACK HS 18311/18312 RC Car Toys For Kid's Gift","USD 74.39","USD 52.07","30%","USD","8.0","USD 4.17","57","76.0%","https://s.click.aliexpress.com/e/_DDbva3z"
"1005003188016334","https://ae04.alicdn.com/kf/S3a4bed0e78b94705b6124bed70a84d0cR.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/335081442908.mp4","BEZGAR TB142 Remote Control Car,2.4GHz Alloy Metal RC Car All-Terrain 20Km/h 1:14 Off-Road Monster Truck Toy for Boys Kids Gifts","USD 48.05","USD 21.62","55%","USD","7","USD 1.51","329","94.6%","https://s.click.aliexpress.com/e/_DEFSWmF"
"1005002914764532","https://ae04.alicdn.com/kf/H1c6f0fa8b9104a13b0a67224cafcefc6g.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/316016436209.mp4","Radio controlled car APP Remote control car Wifi Camera HD RC 4WD Buggy SUV 1/18 Rc cars Electric Car toys for boys Climbing car","USD 51.63","USD 25.82","50%","USD","8.0","USD 2.07","137","89.3%","https://s.click.aliexpress.com/e/_DnNnDWr"
"1005004128474739","https://ae04.alicdn.com/kf/S517414d547fb410596c7c4cf99adace0u.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100010914751.mp4","2in1 RC Car 2.4GHz Remote Control Boat Waterproof Radio Controlled Stunt Car 4WD Vehicle All Terrain Beach Pool Toys for Boys","USD 30.38","USD 19.75","35%","USD","8.0","USD 1.58","642","96.0%","https://s.click.aliexpress.com/e/_DdJYvGL"
"1005003800122723","https://ae04.alicdn.com/kf/S4e99d62a2db2404c9f1b303ba0e860a0U.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100046050639.mp4","16103 1/16 2.4GHz 50KM/H 4wd Rc Car 390 High-speed Carbon Brush Strong Magnetic Motor 5-wire Steering Gear Spring Shock Car","USD 93.40","USD 65.38","30%","USD","17.0","USD 11.11","32","80.0%","https://s.click.aliexpress.com/e/_DBaLKlp"
"1005003038665115","https://ae04.alicdn.com/kf/H1e98a1f894ed4ddb9d2a680de477a50eQ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/322519771424.mp4","Wltoys 144001 1/14 2.4G 4WD High Speed Racing RC Car Vehicle Models 60km/h Two Battery Toy Gift Kid Remote Control Machine","USD 163.24","USD 79.99","51%","USD","7","USD 5.60","290","94.4%","https://s.click.aliexpress.com/e/_DDaX3Sr"
"1005003728505508","https://ae04.alicdn.com/kf/Se5ee675473134f54913867b162595808l.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/342351125099.mp4","50km/h 1/16 Fast Rc Cars Off Road 4WD with 14LED Headlights,2.4G Waterproof Remote Control Monster Truck  for Adults and Kids","USD 160.40","USD 81.80","49%","USD","8.0","USD 6.54","97","95.0%","https://s.click.aliexpress.com/e/_Ddwj86b"
"1005002977672547","https://ae04.alicdn.com/kf/S7e9bc3cf369d422badab7183bbd7ae608.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/317957309315.mp4","RC Car 50km/h High Speed Quality 4WD Racing Truck Cars Crawler Big Foot Off Road Remote Control Drift Toy for Kids Gift Boys","USD 134.29","USD 68.49","49%","USD","8.0","USD 5.48","59","96.2%","https://s.click.aliexpress.com/e/_DeR2PAX"
