"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"4000067105525","https://ae04.alicdn.com/kf/H0862dce3b3b64748a7adc8a3d679b451k.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/233653849480.mp4","Funny Robot Fish Electronic Singing Toy Simulation Fishes Jump Battery Powered Novelty Spoof Music Toys Halloween Decoration","USD 55.00","USD 30.25","45%","USD","8.0","USD 2.42","11","100.0%","https://s.click.aliexpress.com/e/_DBePExl"
"1005003522069412","https://ae04.alicdn.com/kf/S6bff6f9ad37d40578ec684ef58a105adg.jpg",,"Tamagotchi Tumbler Dinosaur Egg Virtual Electronic Pet Toy With Keychain Digital Cyber Pet Game Toy E-Pet Toy Kids Children Gift","USD 8.04","USD 4.02","50%","USD","7","USD 0.28","105","92.7%","https://s.click.aliexpress.com/e/_DEOqY8n"
"1005003973057828","https://ae04.alicdn.com/kf/S5a66d633184548ac8a85a1c3d096e75fS.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/348818256862.mp4","Kid Cartoon Mobile Phone Electronic Toy Cute Telephone Educational Learning Toys Music Sound Machine Baby Infant Gift for Kids","USD 4.06","USD 2.44","40%","USD","7","USD 0.17","3","100.0%","https://s.click.aliexpress.com/e/_DCkFcXN"
"1005003088159098","https://ae04.alicdn.com/kf/Hdce5a75288e74279829f5a0a7b295219i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/320913282935.mp4","Talking Dancing Cactus USB Charging Shake Plush Toy Lovely Childhood Education Doll Repeat Home Decor Decoration Accessories","USD 4.83","USD 2.61","46%","USD","8.0","USD 0.21","2","100.0%","https://s.click.aliexpress.com/e/_DnKh6q3"
"1005002877180341","https://ae04.alicdn.com/kf/Hf3a346ac0ffd4f8da8f28f6c5403b97dB.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/315224900503.mp4","Sound Control Electronic Interactive Dogs Toys Robot Puppy Pets Bark Stand Walk 8 Movements Plush Toys For Kids gifts Dog toy","USD 21.28","USD 15.96","25%","USD","7","USD 1.12","6","60.0%","https://s.click.aliexpress.com/e/_DDMpSfV"
"32978275594","https://ae04.alicdn.com/kf/S93c51eec715c4520832f90a772051f78c.jpg",,"New Electronic Fish Pets with Flash Lighting Mini Sea Animal Electric Swimming Fish Toys for Children Gifts Battery Powered Fish","USD 3.22","USD 3.16","2%","USD","20.0","USD 0.63","71","89.2%","https://s.click.aliexpress.com/e/_DCzPIjz"
"32657039779","https://ae04.alicdn.com/kf/Hd2ec8ee5c4cd4c9d8f638b2850181361d.jpg",,"Russian language electronic baby ABC alphabet sound poster infant kids present Gift early learning education phonetic chart","USD 13.20","USD 11.88","10%","USD","8.0","USD 0.95","81","97.6%","https://s.click.aliexpress.com/e/_DEdFg0n"
"1005003735114926","https://ae04.alicdn.com/kf/S7a620a19e135478283d08ec1b833235be.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100012259429.mp4","Tamagotchi Electronic Pets Toys For Children Color Screen USB Charge Interactive Virtual Pet Child Toy For Kids Game Toys Girls","USD 11.76","USD 7.06","40%","USD","7","USD 0.49","459","98.2%","https://s.click.aliexpress.com/e/_Dk93nir"
"4000906103890","https://ae04.alicdn.com/kf/Hfdad6cfd41db43969a146b3451931491u.jpg",,"Mini Electronic Pets Toys 8 Pets in 1 Virtual Cyber USB Charging Micro Chat Pet Toy for Kids Adults Gift Wholesale Dropshipping","USD 24.62","USD 17.48","29%","USD","7","USD 1.22","267","98.0%","https://s.click.aliexpress.com/e/_Dn1Tov1"
"1005004615466933","https://ae04.alicdn.com/kf/S1ddf5e446c3b4e36aa3237766e51719ds.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100077503047.mp4","Intelligent Electric Plush Toy Walking Barking Dog Teddy Corgi Dog Rabbit Tail Wagging Ass Shaking Toys For Children Interesting","USD 10.15","USD 7.10","30%","USD","10.0","USD 0.71","15","100.0%","https://s.click.aliexpress.com/e/_DE6W1dz"
