"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003779102856","https://ae04.alicdn.com/kf/S8488659f57d84beca738a3b93f6e4a153.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/350743346013.mp4","NEW JOYTOY 1/25 Action Figure Robot Purge 01 Combination Warfare Mecha Collection Model Toys Gift New Boxed Free Shipping","USD 149.00","USD 75.99","49%","USD","7","USD 5.32","27","100.0%","https://s.click.aliexpress.com/e/_DkUoXfz"
"1005001315356139","https://ae04.alicdn.com/kf/H78c344634d7947d8b02879a50776f92cN.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100015661813.mp4","AOYI Super Engine Heart H6003-6 H6003-6B  Flat Head Column Black Apple Commander Transformation Robot Toys Model","USD 50.89","USD 44.78","12%","USD","7","USD 3.13","25","100.0%","https://s.click.aliexpress.com/e/_DDRLpIF"
"1005002742191359","https://ae04.alicdn.com/kf/H15c792e93e384a42a9ac1370f57a1b75s.jpg",,"New Toy Car Bulldozer Excavator Robot 2 in 1 Toy City Mini Construction Truck Transforming Robot For Kids Robot Toys Gift","USD 3.29","USD 2.30","30%","USD","12.0","USD 0.28","54","95.0%","https://s.click.aliexpress.com/e/_DFBBFSL"
"1005001615892048","https://ae04.alicdn.com/kf/H5e6f335f7d274ce39d1cefd381a1751dD.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/283671343760.mp4","The latest Avengers LED luminous music dancing Octopus Spiderman electric robot kids educational toys children Christmas gifts","USD 18.80","USD 15.98","15%","USD","7","USD 1.12","40","97.1%","https://s.click.aliexpress.com/e/_DBtWJSb"
"32847572432","https://ae04.alicdn.com/kf/HTB1FQ_nkJbJ8KJjy1zjq6yqapXaP.jpg",,"7pcs/lotTransformation Robot Car Kit Deformation Robot Action Figures Toy for Boy Vehicle Model Kids Gift","USD 10.36","USD 8.81","15%","USD","7","USD 0.62","111","89.5%","https://s.click.aliexpress.com/e/_Ddb2wTt"
"1005004181812800","https://ae04.alicdn.com/kf/S732d92a8edf4491096c72289a33f56c6d.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100014271489.mp4","New 6 Styles Pokemon Pikachu Charmander Psyduck Squirtle Jigglypuff Bulbasaur Kawaii Anime Figures Toys Model Pokémon Kids GIft","USD 7.99","USD 3.52","56%","USD","7","USD 0.25","189","94.7%","https://s.click.aliexpress.com/e/_DDULBA3"
"1005001613546345","https://ae04.alicdn.com/kf/H59c689021141431497358ed8b7ff4b80n.jpg",,"NEW LED Thanos kids marvel Black Panther SpiderMan Captain America Thor Iron Man Hulk Avengers action Figure toys Model Doll","USD 3.80","USD 3.42","10%","USD","8.0","USD 0.27","45","100.0%","https://s.click.aliexpress.com/e/_Dd0ATx5"
"1005004416748186","https://ae04.alicdn.com/kf/Sa06fcda6552b4745b578a350830f82ecm.jpg",,"Disney Super Wings Action Figures Robocar Poli Ambe Roy Helly Transformation Robot Car Assembly Toys Model for Kids Puzzle Gifts","USD 7.98","USD 3.99","50%","USD","8.0","USD 0.32","80","83.1%","https://s.click.aliexpress.com/e/_DkHQrx5"
"4001169212530","https://ae04.alicdn.com/kf/Hd72403600555419f982756e0f9ad6fa4H.jpg",,"Transformation Galvatron Megotroun Mgtron H9 Gun Model G1 Mini Pocket Warrior Action Figure Robot Deformed Toys Kids Gifts","USD 28.80","USD 24.48","15%","USD","7","USD 1.71","101","90.8%","https://s.click.aliexpress.com/e/_DFD6lcf"
"32897884428","https://ae04.alicdn.com/kf/H8b27ea72d80c4c2b80f5b78870e14264V.jpg",,"Wall-E Robot Wall E EVE PVC Action Figure Collection Model Toys Dolls 6cm 3 Types","USD 4.19","USD 3.48","17%","USD","7","USD 0.24","62","100.0%","https://s.click.aliexpress.com/e/_DChgoQB"
"1005003754356505","https://ae04.alicdn.com/kf/S3ac1dd2cd64e4071b3f70e1ee4f1c8d4x.jpg",,"Tobot Brother Transformation Free Shipping Kids Toys Korea Anime Deformed Robot Car Action Figure Mini Model Boy Child Gift","USD 24.17","USD 19.34","20%","USD","7","USD 1.35","95","97.3%","https://s.click.aliexpress.com/e/_DnbqF3H"
"32945101630","https://ae04.alicdn.com/kf/H07c54b4750a448a69f1b2477193b47ddO.jpg",,"Wall-E Robot Wall E & EVE PVC Action Figure Collection Model Toys Dolls 6cm/10cm","USD 6.60","USD 5.48","17%","USD","7","USD 0.38","264","96.5%","https://s.click.aliexpress.com/e/_DD7k831"
"1005002285828971","https://ae04.alicdn.com/kf/S0867061856164497b756917cda5b89d5e.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/303843453071.mp4","Newest Type Smart Robots Dance Voice Command 3 Languages Versions Touch Control Toys Interactive Robot Toy Gift for Children","USD 30.10","USD 19.56","35%","USD","7","USD 1.37","574","93.3%","https://s.click.aliexpress.com/e/_DEgIVzh"
"1005002302199087","https://ae04.alicdn.com/kf/H988c865aab744b91be611ff4bb14d8658.jpg",,"Newest Mini Force Transformation Toys with Sound and Light Action Figures MiniForce X Simulation Animal Dinosaur Mini Agent Toy","USD 30.38","USD 18.84","38%","USD","7","USD 1.32","60","94.7%","https://s.click.aliexpress.com/e/_DB0sOBp"
"1005003903286287","https://ae04.alicdn.com/kf/S981d85626f514aac956e7f08ee4e0983j.jpg",,"No Box 3 In 1 Transformation Robot Action Figure Toy Car Toys Cartoon Animation Model Set For Boys Birthdays Gifts","USD 17.83","USD 10.70","40%","USD","8.0","USD 0.86","51","91.7%","https://s.click.aliexpress.com/e/_Dn0rhhh"
"1005002978605664","https://ae04.alicdn.com/kf/Hbb76c7f27de347a8b85f721e8e46c93bJ.jpg",,"Marvel Spider-man Handheld Toy Magnets Shake-head Action Figure Q Version Of The Hero's Return Avengers Furnishing Articles","USD 3.40","USD 2.21","35%","USD","8.0","USD 0.18","26","86.7%","https://s.click.aliexpress.com/e/_Dc9cqQf"
"1005004183835786","https://ae04.alicdn.com/kf/Sf6a11f339f9a4db5b79f78d9c239071cs.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100014475188.mp4","Pokemon Anime Action Figures Pikachu Toys Model Charmander Psyduck Squirtle Jigglypuff Bulbasaur Kawaii Collect Dolls Kids Gift","USD 9.00","USD 3.78","58%","USD","8.0","USD 0.30","30","94.3%","https://s.click.aliexpress.com/e/_DCu1HT5"
"4000268522130","https://ae04.alicdn.com/kf/S089eb951229841f88b19fd1e05c2b353g.jpg",,"8pcs Real Steel Toys Atom Movie Zeus Twin Cities Midas Robot Action Figure 13cm Gift Doll Model Anime Non-JAKKS Robot","USD 25.58","USD 25.58","0%","USD","7","USD 1.79","79","95.3%","https://s.click.aliexpress.com/e/_Dkymtq3"
"1005004458027476","https://ae04.alicdn.com/kf/S25014d1e0dc84d958e5937646f9e0d6b4.jpg",,"Transformation 6 in 1 Model MINI Devastator 21CM Action Figure Robot Plastic Toys BEST Gift Child Kid New","USD 20.88","USD 16.50","21%","USD","7","USD 1.16","34","100.0%","https://s.click.aliexpress.com/e/_DB5K4PD"
