"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002957461462","https://ae04.alicdn.com/kf/Hf166b8ab4cd349feb45d00d6af4ae4d0G.jpg",,"2021 summer new Korean western style wild rhombus chain small square bag fashion shoulder messenger bag for women handbag","USD 8.60","USD 6.02","30%","USD","7","USD 0.42","37","88.6%","https://s.click.aliexpress.com/e/_Dew7FGL"
"1005004371210792","https://ae04.alicdn.com/kf/S0b7e7b0cc88840b088c9ddc20b789622V.jpg",,"Retro Women Shoulder Bag Chic Fashion Crossbody Bags Artificial Leather Black/Coffee Saddlebag Tote Handbags Purse for Women","USD 21.47","USD 12.88","40%","USD","7","USD 0.90","26","93.7%","https://s.click.aliexpress.com/e/_Dl1zyv1"
"1005001942371683","https://ae04.alicdn.com/kf/H783a5a0324d242e8b88875c6dc27e74b6.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/292814986835.mp4","Women Casual Handbag Brand Designer Female Shoulder Bag Large Capacity Shopper Bags Nylon Cloth Waterproof Tote Bag Sac A Main","USD 30.82","USD 20.03","35%","USD","7","USD 1.40","52","100.0%","https://s.click.aliexpress.com/e/_DmYIzlN"
"1005003709920550","https://ae04.alicdn.com/kf/U9bd73b8be9fc4760ac18402225d61afff.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/328462537624.mp4","Butterfly Print Cartoon Handbags Floral High Capacity Shopping Bag Storage Eco Reusable Casual Women Shoulder Bag Custom Pattern","USD 7.74","USD 4.49","42%","USD","7","USD 0.31","22","100.0%","https://s.click.aliexpress.com/e/_DC42UB5"
"1005002945384582","https://ae04.alicdn.com/kf/H73af4c7fc1ec4ec2a4e1e594850f43302.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/317140797329.mp4","Large Capacity Canvas Striped Women Tote Bag Commuter Shoulder Crossbody Bags for Women 2021 Fashion Business Briefcase Handbag","USD 27.05","USD 14.88","45%","USD","7","USD 1.04","39","100.0%","https://s.click.aliexpress.com/e/_DCard07"
"1005003205647775","https://ae04.alicdn.com/kf/Sc733b24a7f5a47f1b0acb4ac2b790de38.jpg",,"Fashion All-match Women's Shoulder Bag Autumn 2021 New Hit Color Messenger Bag Simple High-quality Handbag Female","USD 25.88","USD 17.60","32%","USD","7","USD 1.23","43","96.7%","https://s.click.aliexpress.com/e/_DcwTOYr"
"1005004459564864","https://ae04.alicdn.com/kf/S02d5f287d7e54e72bfc9d9a4d6ade22eZ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100056972040.mp4","Ladies Luxury Clutch Braided Leather Bag 2022 New Fashion One Shoulder Ladies Hobo Messenger Bag Soft Hobo Tote Bag","USD 51.50","USD 25.75","50%","USD","10.0","USD 2.58","21","100.0%","https://s.click.aliexpress.com/e/_DeB96DD"
"1005001427315090","https://ae04.alicdn.com/kf/H7395cb885291433ebb3cffc0dc49b63c5.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/323579488228.mp4","Luxury Women Handbags Europen Golden Floral Leather Totes Bags PU Female Shoulder Bag Girls Top-Handle Bolso Mujer Dropshipping","USD 50.99","USD 24.48","52%","USD","7","USD 1.71","31","86.7%","https://s.click.aliexpress.com/e/_DDtyNhV"
"1005002573453026","https://ae04.alicdn.com/kf/H7d56506643e340298990e7e2edaa8e214.jpg",,"2022 New style Genuine leather women bag Classic Envelo carried across the two straps fashion Envelope Candy color handbag","USD 90.00","USD 81.00","10%","USD","7","USD 5.67","108","95.3%","https://s.click.aliexpress.com/e/_DClVF7D"
"1005004055578552","https://ae04.alicdn.com/kf/S8c67a192012941d0b8356be99af0403fT.jpg",,"Vintage nylon messenger bag female designer black sports shoulder belt messenger bag female casual handbag","USD 71.08","USD 71.08","0%","USD","7","USD 4.98","93","100.0%","https://s.click.aliexpress.com/e/_DCpFzKf"
"1005003649225991","https://ae04.alicdn.com/kf/H9e38bf6438af44fb887823e94d29a832G.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/339262276801.mp4","Fashion Women PU Leather Solid Color Shoulder Crossbody Bag Portable Travel Mini Flap Luxury Handbags Casual All-match Purse","USD 3.96","USD 2.69","32%","USD","7","USD 0.19","26","86.7%","https://s.click.aliexpress.com/e/_DkZhcm7"
"4000682626806","https://ae04.alicdn.com/kf/Hdf2aa797679540dc8600c2a21a0343efH.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/260024578486.mp4","Wood Hand lock Shell Bags Vintage Designer Bag Women Shoulder Crossbody Bag Chain Tote Women's Handbags Purses free shipping","USD 39.90","USD 17.95","55%","USD","20.0","USD 3.59","25","97.1%","https://s.click.aliexpress.com/e/_DlOATvz"
"1005003634450235","https://ae04.alicdn.com/kf/H9fd7e59e7dd24cfea070d44ea61ae613o.jpg",,"Ladies Quality Leather Letter Shoulder Bags for Women 2022 Luxury Handbags Women Bags Designer Fashion Large Capacity Tote Bag","USD 47.00","USD 24.44","48%","USD","8.0","USD 1.96","23","91.4%","https://s.click.aliexpress.com/e/_DmfYTg7"
"1005001526027369","https://ae04.alicdn.com/kf/H571be57e81e7401d9191900a042aa95cK.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/281198538393.mp4","Luxury Heart Bag Women 3pcs Set Handbag Shoulder Bag Fashion Chain Wide Strap Messenger Bags PU Crossbody Totes Bag Female Purse","USD 29.98","USD 18.59","38%","USD","7","USD 1.30","21","93.3%","https://s.click.aliexpress.com/e/_DkTdZiP"
"1005004264147380","https://ae04.alicdn.com/kf/Sa36677befc1d4a818135a85b36b81ac2I.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100073466694.mp4","Vintage Green Velvet Shoulder Bags Chain Female Underarm Bag Purses And Handbags Designer Totes Ladies Handbags 2022 New","USD 55.96","USD 27.98","50%","USD","7","USD 1.96","47","100.0%","https://s.click.aliexpress.com/e/_DemPo8r"
"1005004179067018","https://ae04.alicdn.com/kf/Sf66e97566e294b1588f1e9d99b37ddc0g.jpg",,"Candy color woven tote bag 2022 new fashion one shoulder women's bag large capacity handbag luxury large bag shopping bag","USD 85.90","USD 42.95","50%","USD","8.0","USD 3.44","28","80.0%","https://s.click.aliexpress.com/e/_DeCQyJH"
"1005002861817862","https://ae04.alicdn.com/kf/H49c00b8fdd734661bee65e1aaa3c8cbdf.jpg",,"Fashion Rivet Day Clutch Bags women Brand PU Leather Shoulder Bag Small Envelope Crossbody bags Vintage Ladies Messenger Bags","USD 5.71","USD 5.71","0%","USD","7","USD 0.40","98","92.2%","https://s.click.aliexpress.com/e/_DmALNER"
"1005004284745589","https://ae04.alicdn.com/kf/S83fb60fb599645d785fc3ad0ad7131d8m.jpg",,"2022 New Mini Tote Bag Crocodile Pattern Flip Messenger Crossbody Bag Female Simple Shoulder Bag Small Square Lady Handbag","USD 12.85","USD 8.99","30%","USD","7","USD 0.63","25","80.0%","https://s.click.aliexpress.com/e/_DEP8TWJ"
"1005001817440836","https://ae04.alicdn.com/kf/H0d74c9098fa74c11863f466063188eb7l.jpg",,"Retro Crossbody Bags for Women Chains Strap Shoulder Bag high quality Designer Handbags famous brands Lady Flap Messenger Bag","USD 47.99","USD 22.56","53%","USD","8.0","USD 1.80","102","80.0%","https://s.click.aliexpress.com/e/_DFVsN3D"
"1005004282921951","https://ae04.alicdn.com/kf/S92d4edf10d5f41bda68f6874ad23b2d7Q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100048237089.mp4","Disney Winnie The Pooh Joint New Women's Handbag Cartoon Cute Women's Shoulder Bag Luxury Brand Fashion Trend Coin Purse","USD 33.53","USD 17.10","49%","USD","9.0","USD 1.54","23","100.0%","https://s.click.aliexpress.com/e/_DDsjT4x"
"4001006278917","https://ae04.alicdn.com/kf/S0a98f12521984b7abee0183fc0ea9c30i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/261984332291.mp4","Multi pockets New Leather Luxury Handbags Women Bags Designer Shoudler Crossbody Bags For Women 2020 Bolsas Femininas","USD 29.55","USD 16.84","43%","USD","7","USD 1.18","46","98.6%","https://s.click.aliexpress.com/e/_DCtHccJ"
"1005003834575018","https://ae04.alicdn.com/kf/S90650093f2f0401284ba6be0f1268aacy.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352711093894.mp4","Fashion Tweed Plaid Bags For Women 2022 Chains Buckle Luxury Small Square Shoulder Bags Designer Handbags Sac A Main","USD 34.27","USD 20.56","40%","USD","7","USD 1.44","25","96.7%","https://s.click.aliexpress.com/e/_DkZHor9"
"1005004584011039","https://ae04.alicdn.com/kf/S0ae0520481a24b89932ea388f8dddfd7v.jpg",,"Sanrio Hello Kitty New Bags Luxury Designer Handbags Women Tote Female Shoulder Messenger Bag Y2k Cartoon Handbag High Quality","USD 24.15","USD 19.56","19%","USD","7","USD 1.37","26","96.0%","https://s.click.aliexpress.com/e/_Dm7kcFN"
"1005004442877942","https://ae04.alicdn.com/kf/Sb08aa836bd5d40ec9dbdf303db46feed2.jpg",,"Pink Heart Embroidered Ladies Bucket Purse Handbags Fashion Love Women Messenger Bag Drawstring Female Girls Small Shoulder Bags","USD 12.51","USD 8.13","35%","USD","7","USD 0.57","32","100.0%","https://s.click.aliexpress.com/e/_DB4nq1Z"
"32894018325","https://ae04.alicdn.com/kf/HTB1mhBmDbSYBuNjSspfq6AZCpXao.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/301530260648.mp4","HOT Male Rivets Handbag Men Skull Clutch Envelope Handbag Casual Purse Bag for Girls Shoulder Bag  Women-Bag Free Shipping","USD 25.90","USD 19.68","24%","USD","8.0","USD 1.57","23","100.0%","https://s.click.aliexpress.com/e/_DDUtcnN"
"1005003680496484","https://ae04.alicdn.com/kf/H06f79ec3f1da4ee48e780eae34bfb946K.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341337614114.mp4","Women Bag Vintage Casual Canvas Square Shoulder Bags Handbags Pures and Bags Crossbody Unisex Bag","USD 7.99","USD 7.91","1%","USD","8.0","USD 0.63","24","100.0%","https://s.click.aliexpress.com/e/_DecSN2X"
"1005003039632535","https://ae04.alicdn.com/kf/Sda9f1b484e504e4ab8cecb95d7ab2b709.jpg",,"AMELISH Brand Designer Lion Head Flap Hand Bag Women 2022 Small PU Leather Shoulder Bag for Female Girl Travel Crossbody Handbag","USD 38.60","USD 19.30","50%","USD","7","USD 1.35","74","93.3%","https://s.click.aliexpress.com/e/_DEWOEkB"
"1005002848683382","https://ae04.alicdn.com/kf/S8f0aeaa5a0434ee6b9915e5130e3dd4eL.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/314974033197.mp4","Luxury High Quality Leather Hollow Out Shoulder Bags for Women 2022 New Handbags Summer Fashion Bucket Crossbody Bag Sac A Main","USD 28.16","USD 19.43","31%","USD","7","USD 1.36","38","96.3%","https://s.click.aliexpress.com/e/_DlI2AXl"
